	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S
Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)	112	26	24	275	10	1767	18	1016	1113	4908	13	5020	17	1892	1547	1111	11	2034	59	805	6045	2388	49	7	2491	7	2231	5
Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)	106	26	36	703	11	4047	19	717	1527	6000	9	5411	50	4601	2060	1222	28	2748	291	683	4362	2007	89	9	1619	5	1194	6
Pyrimidine deoxynucleoside triphosphate (dYTP) pyrophosphohydrolase YfoO	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyrimidine-nucleoside phosphorylase (EC 2.4.2.2)	2	4	4	124	1	253	1	352	33	165	2	135	519	212	589	111	611	231	2	246	442	212	52	2	56	4	152	4
Pyrophosphate--fructose 6-phosphate 1-phosphotransferase, alpha subunit (EC 2.7.1.90)	0	0	0	0	0	6	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyrophosphate--fructose 6-phosphate 1-phosphotransferase, beta subunit (EC 2.7.1.90)	8	29	10	137	11	1360	10	936	85	2225	5	8058	8	732	2313	3272	6	5839	447	722	10206	4988	52	7	4650	3	793	3
Pyrophosphate-energized proton pump (EC 3.6.1.1)	7	20	16	39	6	1835	5	95	79	1407	3	7014	3	4305	129	16	12	23	10	33	80	43	33	4	59	2	63	2
Pyrophosphate-specific outer membrane porin OprO	2	6	6	208	3	123	11	346	13	555	4	7389	5	2082	1512	4843	8	3316	24	2367	12609	2418	20	4	845	1	1856	2
Pyrrolidone-carboxylate peptidase (EC 3.4.19.3)	3496	1211	2743	2627	3420	1008	2295	2107	1606	2685	594	152	532	2335	1483	1646	15	2173	14	2450	1163	558	2715	970	403	1175	1268	1475
Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	126	9	16	460	6	451	5	1715	549	571	8	282	9	525	748	247	646	896	135	640	1577	648	155	11	312	6	203	7
Pyruvate carboxyl transferase (EC 6.4.1.1)	30	30	31	529	12	2455	16	1410	168	2137	7	6933	25	2039	3356	2953	567	5265	552	1406	10851	5016	240	17	6504	9	1832	8
Pyruvate carboxyl transferase subunit B (EC 6.4.1.1)	4	5	4	560	2	574	3	1301	7	744	3	253	4	594	510	470	1663	1401	3	1222	1163	954	654	1	462	1	247	0
Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)	6	13	2	29	29	6	1	2	140	13	86	2	75	2	3	24	2	19	1	2	11	4	13	12	13	61	65	77
Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	2	2	7	98	37	2	1	10	132	9	87	3	41	15	3	2	1	50	1	5	18	6	12	11	22	114	122	79
Pyruvate formate-lyase (EC 2.3.1.54)	812	381	211	35407	175	57427	250	53986	2164	114156	138	57864	165	93869	80145	26429	24440	41110	444	57753	83856	54013	1106	139	31327	88	59421	86
Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)	269	126	84	25712	70	13950	65	22693	604	29050	60	10321	64	18963	33847	9061	15181	22330	279	17196	25386	18702	1718	59	7892	36	16859	21
Pyruvate kinase (EC 2.7.1.40)	18103	104183	53815	50989	63692	11703	33207	33930	40289	39131	43755	14188	35111	34852	26123	25264	780	30817	1478	62834	39107	18406	62927	18306	30529	36023	31571	42899
Pyruvate oxidase (EC 1.2.3.3)	17553	19716	3370	1271	16126	19	3173	123	3925	22	6754	23	5831	30	26	27	26	32	44	36	32	21	6589	13294	16	9972	6813	10964
Pyruvate oxidase [ubiquinone, cytochrome] (EC 1.2.2.2)	0	0	0	0	1	2	0	0	1	2	1	6	0	4	0	0	0	1	1	1	1	0	98	0	2	1	1	2
Pyruvate oxidase, CidC	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	48	117	52	3677	38	7750	31	3499	250	4083	26	10531	36	2659	3418	3038	5736	4265	705	3754	20236	10264	257	37	8108	7	5754	8
Pyruvate,phosphate dikinase (EC 2.7.9.1)	34	71	27	166	20	1547	27	316	107	2312	21	12074	39	4378	1085	1546	177	2394	537	554	7088	3167	82	18	1999	8	360	6
Pyruvate:ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.1)	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyruvate:ferredoxin oxidoreductase, beta subunit (EC 1.2.7.1)	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyruvate:ferredoxin oxidoreductase, gamma subunit (EC 1.2.7.1)	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	2	0	0	0	0	0	0
Queuosine Biosynthesis QueC ATPase	3	10	6	199	4	964	4	471	27	487	2	1278	2	480	2115	434	343	939	90	411	2789	890	41	4	474	2	1030	2
Queuosine biosynthesis QueD, PTPS-I	3	11	3	1081	3	1154	5	2979	37	1369	7	525	3	789	601	529	2794	2523	138	1816	2394	1421	85	5	448	4	429	4
Queuosine Biosynthesis QueE Radical SAM	116	330	28	154	139	330	24	316	112	275	162	129	101	184	219	116	365	344	68	193	393	241	78	141	126	230	210	247
quinol oxidase polypeptide I QoxB (EC:1.9.3.-)	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
quinol oxidase polypeptide II QoxA (EC:1.9.3.-)	5	0	0	1	0	1	2	2	3	2	1	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	1	0
quinol oxidase polypeptide III QoxC (EC:1.9.3.-)	4	0	0	1	0	0	1	1	5	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)	10	14	14	145	5	501	10	885	68	1225	9	6016	5	1074	1807	1726	5	3924	51	747	10398	2915	20	4	2429	2	336	2
Quinolinate synthetase (EC 2.5.1.72)	6	10	7	106	6	298	9	839	32	1197	3	6123	5	182	1971	1658	3	3400	61	688	7507	2537	23	3	1815	2	312	2
Quinone oxidoreductase (EC 1.6.5.5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Radical SAM domain heme biosynthesis protein	44	75	41	10828	45	1966	35	15511	60	5671	30	3496	39	2787	1088	3252	12868	9881	72	13841	14276	9042	118	29	8602	6	495	3
Radical SAM family enzyme, similar to coproporphyrinogen III oxidase, oxygen-independent, clustered with nucleoside-triphosphatase RdgB	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Radical SAM family protein HutW, similar to coproporphyrinogen III oxidase, oxygen-independent, associated with heme uptake	5	10	6	235	6	4756	6	1272	5	843	4	1360	7	1840	1327	725	561	639	6	511	2729	761	53	4	2127	1	565	1
Raffinose operon transcriptional regulatory protein RafR	1	812	34	1	0	0	1	1	0	0	169	1	230	0	0	0	0	0	0	0	0	0	41	1	0	82	31	180
Rare lipoprotein A precursor	14	22	11	47	18	19217	30	389	24	29654	14	2836	19	16668	2915	2770	10	3331	31	1151	5325	750	32	16	1147	3	9550	6
RecA protein	9265	12409	11085	11689	14155	3139	5815	11645	6187	7828	6135	6744	4532	5653	6927	5852	1966	13815	443	9470	12201	6235	8708	6368	2799	3542	3877	9094
RecD-like DNA helicase Atu2026	0	0	0	0	0	37	0	0	0	3	0	34	0	37	2	2	0	42	0	0	4	1	10	0	1	0	8	0
RecD-like DNA helicase YrrC	2481	1878	195	354	629	280	306	517	1964	272	819	108	1297	202	304	134	620	415	27	522	586	261	269	579	126	1640	327	2114
Recombination inhibitory protein MutS2	2822	1748	2385	1940	3126	1141	2258	1482	2393	1741	836	1303	514	1416	1544	1188	489	1859	173	2025	2258	903	2127	1015	854	1312	972	2330
Recombination protein RecR	4250	7774	4493	6598	6466	3385	2977	4356	3399	6970	3697	5244	4006	5107	4351	3562	1164	4572	190	6014	5457	2483	6544	941	2327	4301	4364	4511
Recombination protein RecU	790	2039	1637	1284	2675	34	1005	916	684	615	776	27	480	615	405	591	4	929	130	962	229	63	1078	1543	253	650	219	615
Recombinational DNA repair protein RecT (prophage associated)	1	3	2	3	1	391	2	9	1	2015	2	3	3	260	8	1	8	5	1	34	34	10	1	2	17	1	8	1
Redox-sensitive transcriptional activator SoxR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Redox-sensitive transcriptional regulator (AT-rich DNA-binding protein)	805	1886	1319	1567	1818	3217	954	2510	968	4529	1046	971	1218	2994	1588	1671	2086	2013	299	2432	2830	993	1256	336	1016	2382	1885	6203
Regulation of D-alanyl-lipoteichoic acid biosynthesis, DltR	1399	3585	92	37	343	10	221	19	1114	9	884	18	1137	6	7	7	13	6	146	6	9	2	308	968	35	596	80	1208
Regulation of D-alanyl-lipoteichoic acid biosynthesis, sensor histidine kinase	631	2291	108	35	406	4	128	5	532	2	604	25	700	10	3	3	1	1	114	4	4	2	164	641	2	662	78	1750
regulator of length of O-antigen component of lipopolysaccharide chains	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Regulator of pectin and galacturonate utilization, GntR family	0	0	1	0	0	4	0	4	0	1	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0
Regulator of polyketide synthase expression	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
Regulatory protein (induces abgABT, used to catabolize p-aminobenzoyl-glutamate)	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Regulatory protein SoxS	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Regulatory protein SusR	0	0	0	2	0	0	0	1	0	5	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0
Regulatory sensor-transducer, BlaR1/MecR1 family	1	4	2	6	2	211	1	33	48	150	1	91	1	110	94	6	2	88	6	1	237	86	10	1	1	1	56	1
Replication initiation protein, topisomerase	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	126
Replicative DNA helicase (EC 3.6.1.-)	73	9	14	664	4	540	4	1739	1002	441	5	1526	5	270	1106	587	14	1518	147	634	3136	1516	43	8	864	3	123	2
Replicative DNA helicase (EC 3.6.1.-) [SA14-24]	3622	4575	4116	5453	5124	2025	2858	4590	1850	4641	2047	2010	1718	4132	2857	2873	1917	3605	189	6360	3201	1194	6560	1384	983	3008	2497	3288
Repressor (CI-like) [Bacteriophage A118]	2	8	13	4	11	35	2	30	8	789	3	25	4	7	9	592	4	1656	6	961	1872	6	2	7	39	2	2	6
Repressor (cro-like) [Bacteriophage A118]	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Resolvase/integrase Bin	7780	4	11	1	149	5	117	2	397	1	2	3	1	1	4	3	0	0	1	4	0	1	7	289	0	5	0	1
Resolvase/Integrase TinR protein	0	2	357	621	2	1	0	2	0	0	0	2	2	0	441	2	1	0	0	2	0	0	920	0	0	0	0	0
Respiratory nitrate reductase alpha chain (EC 1.7.99.4)	0	0	0	1	0	0	0	0	1	0	1	1	0	2	1	0	0	1	1	1	0	0	81	1	0	0	0	0
Respiratory nitrate reductase beta chain (EC 1.7.99.4)	0	1	0	0	0	13	2	1	2	1	0	3	0	7	1	1	0	24	1	1	1	1	93	0	0	0	0	0
Respiratory nitrate reductase delta chain (EC 1.7.99.4)	1	1	1	2	2	1	1	2	2	1	1	2	2	1	1	1	1	1	2	1	1	1	127	1	1	1	1	1
Respiratory nitrate reductase gamma chain (EC 1.7.99.4)	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	3	1	1	2	13	1	1	1	1	1
Response regulator BaeR	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Response regulator CsrR	1	0	1	0	1	0	0	4	2	1	1	0	0	0	0	0	0	0	941	3	0	2	4	211	0	0	0	0
Response regulator LiaR	0	0	0	0	0	290	0	0	0	8	0	46	0	82	4	10	0	36	0	0	4	1	0	0	0	0	36	0
Response regulator of the competence regulon ComE	11	0	4	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	25	0	0	0	0	0	1	1	0	1
Response regulator of zinc sigma-54-dependent two-component system	0	2	2	1	16	198	81	7	418	21	0	43	1	69	20	25	1	55	2	8	105	7	0	6	6	1	4	1
Retron-type reverse transcriptase	12	845	203	4	4	1139	10	34	11	695	2185	728	772	368	31	3483	3	4964	14	9	6104	1842	39	7	2494	4421	2712	1015
rhamnogalacturonan acetylesterase	4	20	5	181	5	351	5	163	57	515	4	3707	3	90	788	811	2	2502	49	126	2026	1324	15	2	1227	3	374	3
Rhamnogalacturonide transporter RhiT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
Rhamnulokinase (EC 2.7.1.5)	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	3	0	3	1	0	0	1	0	0
Rhamnulose-1-phosphate aldolase (EC 4.1.2.19)	0	0	0	0	0	1	1	3	0	8	0	5	0	1	0	0	0	0	0	14	0	2	0	0	0	1	0	0
Rho-specific inhibitor of transcription termination (YaeO)	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodanese-like domain protein	3	4	12	7	3	91	5	5	32	54	5	41	3	40	75	4	3	36	1563	6	39	14	25	3	4	4	13	4
Rhodanese-related sulfurtransferases	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Riboflavin kinase (EC 2.7.1.26)	2302	4004	581	2362	1106	1200	457	4354	2983	2318	2021	1550	1176	901	2046	1151	1365	2216	82	2486	4772	2812	785	1125	1634	1146	964	1570
Riboflavin synthase alpha chain (EC 2.5.1.9)	19	32888	83	464	274	1219	13	1617	115	782	1706	979	10774	752	882	554	2129	1306	176	972	2220	744	187	3098	568	90	653	13088
Riboflavin transporter PnuX	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribokinase (EC 2.7.1.15)	27860	21094	3774	3626	6518	7561	1882	3470	3665	7499	3665	1060	6795	7481	3232	1582	69	2965	51	4052	4448	1996	3567	493	819	2854	4796	5444
Ribonuclease BN (EC 3.1.-.-)	2317	3563	2830	2709	1846	585	1764	1770	1605	2376	2071	450	1606	1914	894	2223	10	1906	74	2555	1142	396	3165	43	550	2589	1715	3573
Ribonuclease D (EC 3.1.26.3)	50	3	2	623	2	38	3	812	387	211	1	203	1	100	320	119	13	429	3	281	538	428	18	4	201	1	53	1
Ribonuclease E (EC 3.1.26.12)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribonuclease E inhibitor RraA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Ribonuclease E inhibitor RraB	1	1	1	4	1	1	1	1	1	1	2	1	1	1	1	1	1	2	0	2	1	1	1	2	1	1	1	1
Ribonuclease HI (EC 3.1.26.4)	955	1434	2026	1944	2972	51	1114	2227	1125	897	910	562	704	1490	1031	1471	22	1607	15	1988	1468	1752	5109	730	851	775	754	751
Ribonuclease HI-related protein	6	14	8	7	6	32	5	26	9	66	3	5568	7	124	20	10	5	13	7	5	2170	34	41	4	6	2	24	2
Ribonuclease HI-related protein 3	4	7	5	15	8	247	5	52	17	220	3	381	5	46	161	153	5	464	54	46	945	313	8	1	549	2	92	2
Ribonuclease HII (EC 3.1.26.4)	1720	1903	4690	8171	4349	623	3453	5125	1237	3379	1177	1320	874	4027	2660	3429	582	3816	153	6640	3018	1638	5504	466	1771	733	2346	704
Ribonuclease HIII (EC 3.1.26.4)	11	2	1	821	4	454	4	892	1	396	3	151	3	483	760	283	1345	553	40	733	586	509	1	2	85	1	172	1
Ribonuclease I precursor (EC 3.1.27.6)	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribonuclease III (EC 3.1.26.3)	2017	1240	2193	6633	3502	6071	1924	8931	3121	5122	640	3973	454	3969	6361	3414	6374	6629	221	7565	12343	6256	2512	865	4484	1302	2401	1091
Ribonuclease M5 (EC 3.1.26.8)	3559	2340	5632	5691	6409	784	2358	5196	4636	5760	2851	641	1845	3860	2574	2942	695	5951	384	4188	3865	819	9185	1637	1120	2205	1526	2518
Ribonuclease P protein component (EC 3.1.26.5)	40872	18464	27938	35574	43082	3289	19740	16088	41957	18877	12420	4142	6265	10109	10655	11589	3554	11136	770	21600	11038	2953	20283	3390	5476	1731	8105	1431
Ribonuclease PH (EC 2.7.7.56)	147	8	16	1713	4	1122	5	2087	1045	2051	7	779	8	825	1539	653	5	959	10	918	2352	1808	94	8	796	4	371	4
Ribonuclease Z (EC 3.1.26.11)	3478	7311	6089	8801	8122	84	4074	3292	1694	3572	3602	965	2274	3053	2184	2654	26	3199	152	7628	3336	863	5473	1468	1004	2005	1603	3437
Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)	5	13	10	228	6	983	8	324	39	512	7	1805	5	264	507	830	9	1933	158	194	2529	910	39	5	993	2	202	1
Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	4	12	8	219	7	1506	6	254	39	585	5	1495	5	745	628	677	14	1857	168	163	2454	727	40	4	709	2	273	2
Ribonucleotide reductase of class Ib (aerobic), alpha subunit (EC 1.17.4.1)	5686	6988	6145	2266	3614	863	2990	1130	2302	3352	2468	268	4677	1298	427	742	35	684	411	1178	763	970	3744	71	572	1695	1110	189
Ribonucleotide reductase of class Ib (aerobic), beta subunit (EC 1.17.4.1)	33149	39915	11272	2945	7123	939	5671	1283	12309	4708	16555	519	22837	1412	590	1155	70	892	427	1926	1298	1580	5433	319	503	23934	4126	78039
Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1)	952	13	5	82	261	122	488	213	878	416	10	2046	27	56	544	505	6	771	103	218	2008	895	19	35	459	34	136	17
Ribonucleotide reductase of class III (anaerobic), activating protein (EC 1.97.1.4)	3498	42134	6059	7651	11621	753	3945	3582	3312	3866	11622	4108	19248	3519	3133	3863	2328	3422	607	9609	5810	3821	12882	42290	3288	27391	6289	44057
Ribonucleotide reductase of class III (anaerobic), large subunit (EC 1.17.4.2)	2286	72959	1757	3358	4149	3213	597	2868	3069	6291	17424	8508	34708	4276	3176	1976	3936	2786	1191	2636	6481	5379	3743	12459	3172	29476	2649	52771
Ribonucleotide reductase transcriptional regulator NrdR	4029	5483	2953	4289	3668	3484	1776	5057	6483	4795	1714	1528	1859	3711	4349	1992	2456	4457	123	4664	4234	1964	3720	355	1265	1903	2463	2337
Ribonucleotide reduction protein NrdI	53504	60681	13946	4496	9328	773	8497	3550	20742	4721	24619	613	37264	2062	876	1335	74	1173	681	2550	1992	2693	8803	308	317	32575	5626	90694
Ribose 1,5-bisphosphate or 5-ribose-1,2-cyclic phosphate dehydrogenase	1	5	3	906	1	46	3	5	144	90	1	827	3	1008	1	92	1	349	92	34	280	19	140	3	1	1	115	1
Ribose 5-phosphate isomerase A (EC 5.3.1.6)	23516	6887	1878	4510	3698	265	1036	7846	5787	2022	1903	1321	2401	1958	4300	1026	15	2649	258	5050	13739	6669	2308	1247	909	3220	1278	6010
Ribose 5-phosphate isomerase B (EC 5.3.1.6)	52	32	32	962	17	5808	25	2098	419	5409	21	6134	22	4060	4413	2379	2643	4736	113	2283	7740	3846	310	17	1872	13	1384	12
Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)	13	888	56	613	722	163	3	348	213	107	4	283	3	140	971	57	39	61	18	234	458	152	343	3	290	57	36	163
Ribose ABC transport system, high affinity permease RbsD (TC 3.A.1.2.1)	9729	702	103	1745	694	209	256	306	4257	83	5	1799	10	94	2434	205	21	337	10	2531	3112	3621	461	71	230	103	375	114
Ribose ABC transport system, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)	40	529	59	896	550	231	5	607	636	120	3	995	630	240	4044	164	71	170	38	595	1595	582	629	11	355	83	60	21
Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)	22	302	25	274	289	373	5	110	402	136	5	311	14	211	644	49	86	64	33	178	324	128	276	5	168	8	87	136
Ribose ABC transporter, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)	0	0	0	0	0	5	0	0	0	0	0	5	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribose operon repressor	174	72	46	1163	73	45	12	409	1537	2233	7	1764	7	236	5822	213	8	565	22	2533	10307	10006	161	10	918	3	84	4
Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	4536	21559	15389	17082	17822	6146	7769	15229	11032	17441	9370	11190	7092	13294	10715	10972	2855	17868	545	13567	17440	9248	16482	2067	10512	20248	10022	29413
Ribose/xylose/arabinose/galactoside ABC-type transport systems, ATP-binding protein (EC 3.6.3.17)	0	1	0	0	1	1	0	2	157	2	0	1	0	0	69	3	0	4	0	18	1	1	5	1	1	0	4	0
Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease component 1	0	0	0	0	0	2	0	0	248	0	0	3	0	0	82	3	0	6	0	18	0	1	10	0	0	0	7	0
Ribosomal large subunit pseudouridine synthase A (EC 4.2.1.70)	0	1	1	15	1	58	1	2	2	54	0	13	1	16	25	4	1	36	23	1	25	5	4	0	3	1	7	1
Ribosomal large subunit pseudouridine synthase B (EC 4.2.1.70)	1527	2604	3080	4223	3488	3330	2281	4349	2472	4421	1912	6215	1512	2914	4068	3432	1768	5486	481	4945	11376	4312	3178	1865	2341	1226	2190	2191
Ribosomal large subunit pseudouridine synthase C (EC 4.2.1.70)	3	10	6	10	3	789	3	21	22	718	1	95	3	488	68	53	37	97	5	34	148	52	5	4	6	2	138	2
Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)	2905	2364	7720	3480	8757	2147	8766	3077	1940	3406	1383	4027	809	2826	2282	2384	1221	3545	169	3616	5892	2739	3377	1513	1887	1843	1768	1321
Ribosomal large subunit pseudouridine synthase E (EC 4.2.1.70)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Ribosomal large subunit pseudouridine synthase F (EC 4.2.1.70)	0	4	1	0	0	3	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Ribosomal protein L11 methyltransferase (EC 2.1.1.-)	1613	3667	735	1438	1842	1789	321	909	1111	1534	2121	1391	1601	1227	1460	712	680	1091	141	1011	1723	799	891	987	561	1304	1263	1456
ribosomal protein L7Ae family protein	10380	11251	4128	8415	9313	2298	3747	5516	7732	5670	7024	2069	4291	2971	4054	3866	3412	3521	490	4820	3597	1327	4467	3339	444	1933	677	2506
Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase	15	20	14	422	11	1354	11	1139	47	1220	8	2988	39	617	1028	833	1258	1691	148	1350	3631	1759	239	8	1192	3	349	3
Ribosomal protein S6 glutaminyl transferase	0	1	0	0	0	6	1	0	0	4	0	3	0	11	0	0	0	0	1	1	0	1	0	0	0	0	1	0
Ribosomal RNA large subunit methyltransferase F (EC 2.1.1.51)	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribosomal RNA large subunit methyltransferase N (EC 2.1.1.-)	4	7	5	29	3	361	5	120	25	237	3	1105	4	125	237	182	6	433	71	119	1112	635	8	4	269	3	148	4
Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.-)	3461	9351	2201	2232	2657	710	1677	1522	5465	1550	4275	1816	3786	1782	914	1400	475	952	107	1903	993	296	1769	917	304	3401	1233	4087
Ribosomal RNA small subunit methyltransferase C (EC 2.1.1.52)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.-)	2077	3273	2762	5098	4028	2053	1685	4552	1804	3540	2075	979	1078	3004	3765	2045	5857	3117	91	4449	4490	2402	2443	557	844	917	1945	1054
Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)	106	26	30	996	22	1436	14	2023	348	1374	8	984	10	939	1763	567	780	1520	116	1248	2383	1319	168	12	781	10	885	10
Ribosomal RNA small subunit methyltransferase F (EC 2.1.1.-)	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.-)	6	3	1	2	1	37	0	35	0	34	0	5	1	14	1	13	0	14	0	5	13	107	1	0	8	1	56	1
Ribosomal small subunit pseudouridine synthase A (EC 4.2.1.70)	1767	1267	140	175	1366	922	241	314	1211	566	602	110	390	345	187	153	498	456	37	179	346	171	190	1831	108	327	408	409
Ribosomal subunit interface protein	17481	25158	19643	26540	15828	15618	9521	44892	16932	43707	8873	27537	23895	51498	33710	23532	7174	40484	662	66854	78102	35075	60474	1826	4900	10590	26984	16788
Ribosomal-protein-L7p-serine acetyltransferase	6184	707	9	8	237	5	267	8	4527	6	2351	7	355	5	5	8	3	4	67	3	5	4	12	68	4	60	14	68
Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.-)	36998	58082	5669	5257	6486	986	7206	3699	21099	3298	34438	1136	7657	2421	3345	2105	893	2283	298	5096	3343	2522	9141	417	591	23847	5843	19380
Ribosomal-protein-S5p-alanine acetyltransferase	892	1535	3023	4163	6159	450	2891	6712	2431	4599	994	592	670	3544	2725	2367	48	7303	284	4999	4700	1247	3790	852	913	452	912	607
Ribosome hibernation protein YfiA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	3	1	1	3	3	1
Ribosome hibernation protein YhbH	36	76	45	569	24	13461	40	3875	226	5937	21	39535	34	4788	8703	9319	29	15043	601	4138	46663	22196	128	34	17294	15	2158	10
Ribosome protection-type tetracycline resistance related proteins, group 2	404	527	12	1	21	0	75	1	249	1	278	0	198	1	1	0	0	1	1	1	1	1	35	3	1	128	30	282
Ribosome recycling factor	3674	16682	11627	14396	12380	8921	6321	15343	5504	12826	9107	15498	6170	11139	8667	7912	6151	17702	571	12372	18046	9898	9411	3103	5420	7305	4718	8140
Ribosome small subunit-stimulated GTPase EngC	3196	2387	4817	5825	5764	1129	4168	3697	4040	3067	1351	1599	723	2877	2569	3372	647	2755	124	4679	2660	1125	3664	1249	1227	1449	1958	1271
Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)	4	5	5	24	8	347	6	135	21	265	6	1322	5	104	179	477	7	645	50	151	1449	829	7	5	473	5	88	5
Ribosome-binding factor A	7871	5720	4062	7962	6761	3858	2826	5317	4609	9160	4445	5308	2024	5713	3082	2719	1038	4208	166	5192	4623	2574	6206	4089	3767	8128	3866	9541
